"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000141316.11",6.06940538602758,1.84280363781125,0.419869918541378,4.38898705630811,1.13879846319944e-05,0.00347572774650451
"ENSG00000139547.7",44.953907899604,-1.6784953804872,0.382865950020143,-4.38402887590001,1.1650432021783e-05,0.00349985348504462
"ENSG00000249180.1",8.21715346975642,2.94855424940427,0.672593968570709,4.38385472838847,1.16597541764978e-05,0.00349985348504462
"ENSG00000197301.6",67.2374029002724,2.29072976667164,0.522865828402827,4.38110437178313,1.18079288816939e-05,0.00351527849986165
"ENSG00000252274.1",9.44581637303562,1.84465678633038,0.421963230868088,4.37160551296245,1.23336221092406e-05,0.00359623088330644
"ENSG00000203722.6",43.4921305756794,-1.71045611769156,0.391298952152196,-4.37122590869162,1.23550877959702e-05,0.00359623088330644
"ENSG00000221740.1",3.74985392339332,2.4637312633045,0.563880097694374,4.36924671287096,1.24675851908074e-05,0.00359623088330644
"ENSG00000238098.7",67.213566387584,1.64007209986156,0.375450508266017,4.36827774567701,1.25230170044083e-05,0.00359623088330644
"ENSG00000123496.6",157.032326209169,-2.30307268797,0.527460859672411,-4.36633855524438,1.26346595689382e-05,0.00359623088330644
"ENSG00000134323.10",100.787615404936,2.17785130449758,0.498859562936219,4.36566013023594,1.26739414389654e-05,0.00359623088330644
"ENSG00000086696.9",118.815039408312,-2.14840219020849,0.492525972809719,-4.3620079118924,1.28874208302094e-05,0.0036284583298698
"ENSG00000227945.1",11.3395915393461,2.90404135474611,0.667097636772423,4.35324785258804,1.34135354081367e-05,0.00372592218388897
"ENSG00000267529.3",20.3137314601878,3.90679522806691,0.897528674644472,4.35283611369238,1.34387611808771e-05,0.00372592218388897
"ENSG00000279862.1",25.4546246431381,2.46685908730883,0.567372530009154,4.34786486273671,1.37469259141222e-05,0.00376627364191346
"ENSG00000253667.2",34.1693359263682,1.59892538094717,0.367809904974908,4.34715150223117,1.37916958803549e-05,0.00376627364191346
"ENSG00000186847.5",111.570256300692,-3.51121308244134,0.808471300170935,-4.34302749114157,1.405325406542e-05,0.00380906110191085
"ENSG00000226598.1",197.578368590858,2.39118962468194,0.550851818448097,4.34089449213146,1.41903853760587e-05,0.00381773923598854
"ENSG00000236194.3",9.73149957656156,2.6744739113979,0.616939292621256,4.33506820425488,1.45714936003829e-05,0.00389144593798462
"ENSG00000281527.1",13.6980920890328,1.28991339833867,0.297764078238801,4.33199802329474,1.47762268823934e-05,0.00391731795889437
"ENSG00000179862.6",404.944972375074,-1.50802936052638,0.348820713024068,-4.32322194244906,1.53766904382781e-05,0.00403199970547556
"ENSG00000219881.1",9.03786796454971,2.80803600988996,0.649640399442772,4.32244671405681,1.5430835877233e-05,0.00403199970547556
"ENSG00000231307.1",8.26156423312543,2.57182672377241,0.595493938525012,4.31881259806373,1.56870912516352e-05,0.00406967967328135
"ENSG00000257896.1",7.08047623532698,2.22840740829588,0.516950171242145,4.31068124601137,1.62752368020777e-05,0.00419231631667704
